medallion,hack_license,vendor_id,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,rate_code,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,credit_card
1FC922EB39A7D72DFF42F42EE7320C6E,7B4259D082C3FC9DEA504DAF7C47EC7D,CMT,CSH,6.00,0.00,0.50,0.00,0.00,6.50,1,2013-01-14 07:12:43,2013-01-14 07:18:59,1,376,0.80,-73.971359,40.760349,-73.984291,40.757389,
D2BD7B2311CAF9D670C8A9A4C18A9C71,A48ABB4E6B9432CA4AC6765C4517916D,CMT,CSH,7.00,0.00,0.50,0.00,0.00,7.50,1,2013-01-14 14:30:57,2013-01-14 14:38:49,1,472,1.20,-73.990692,40.738083,-73.999649,40.725216,
8AD0B4FDBF2F62F88E735AD08C3D2CD7,9F9EFF511B4DDEEFFC01CB7555B42656,CMT,CSH,14.50,0.00,0.50,0.00,0.00,15.00,1,2013-01-14 09:13:01,2013-01-14 09:34:41,1,1299,2.20,-73.959106,40.775059,-73.979195,40.749916,
031D934D9488EF3096645D5A1B19A1B8,C2A4BD9771B4A78B4DF2586844E8B1B0,CMT,CSH,4.00,1.00,0.50,0.00,0.00,5.50,1,2013-01-14 16:03:05,2013-01-14 16:05:33,1,147,0.60,-73.945724,40.781750,-73.943947,40.788208,
031D934D9488EF3096645D5A1B19A1B8,C2A4BD9771B4A78B4DF2586844E8B1B0,CMT,CSH,7.50,0.00,0.50,0.00,0.00,8.00,1,2013-01-14 15:09:16,2013-01-14 15:16:59,3,462,1.50,-73.969009,40.791248,-73.985565,40.778763,
827006828E21AF6033DDF7C7EFC19B36,993592AE0ADFDD11CE2E42F8065BAAE0,CMT,CSH,6.00,0.50,0.50,0.00,0.00,7.00,1,2013-01-13 20:47:02,2013-01-13 20:50:45,1,222,1.20,-73.961121,40.764824,-73.971313,40.748596,
192E84FDB668EECAFAA2439FF01162EF,1BF8B95AE4537815A0FDBF0E96086724,CMT,CSH,17.00,0.50,0.50,0.00,0.00,18.00,1,2013-01-13 21:40:49,2013-01-13 21:59:34,1,1124,4.30,-74.002457,40.734177,-73.941963,40.711815,
42B6719514A5414A6E6A97AB6D17B8F6,D54A9D78134E240ABCEF82690E773FF4,CMT,CSH,10.50,0.00,0.50,0.00,0.00,11.00,1,2013-01-14 12:15:17,2013-01-14 12:26:16,3,659,2.30,-73.978767,40.760899,-74.004570,40.741993,
42B6719514A5414A6E6A97AB6D17B8F6,D54A9D78134E240ABCEF82690E773FF4,CMT,CSH,6.50,0.00,0.50,0.00,0.00,7.00,1,2013-01-14 07:25:51.000,2013-01-14 07:32:07.000,1,376,1.20,-73.982048,40.777607,-73.989578,40.766319,
42B6719514A5414A6E6A97AB6D17B8F6,D54A9D78134E240ABCEF82690E773FF4,CMT,CSH,6.50,0.00,0.50,0.00,0.00,8.0,1,2013-01-14 07:25:51.000,2013-01-14 07:32:07.000,1,376,1.20,-73.982048,40.777607,-73.989578,40.766319,
C6B977F3E180CFB4A93AD3D101E225FB,EC56F26C6EE034638099B71B3770494C,CMT,CSH,13.00,0.00,0.50,0.00,0.00,13.50,1,2013-01-14 08:56:20,2013-01-14 09:13:46,1,1045,2.20,-73.973808,40.747730,-73.981079,40.766888,
29D11D5D9EF079806F1E83B4EB0D92CA,8779278A87E4F34BA981E7CD43BFC543,CMT,CSH,7.50,0.00,0.50,0.00,0.00,8.00,1,2013-01-10 09:13:55,2013-01-10 09:23:20,1,564,1.00,-73.981560,40.773930,-73.977821,40.762066,
9FA27533A3E87CC4280247ACCBB5B61D,FCBD6CD43079F1314600ED68F2AD8733,CMT,CSH,7.00,0.00,0.50,0.00,0.00,7.50,1,2013-01-10 11:51:28,2013-01-10 11:58:53,1,445,1.30,-73.977386,40.746655,-73.964119,40.758274,
9FA27533A3E87CC4280247ACCBB5B61D,FCBD6CD43079F1314600ED68F2AD8733,CMT,CSH,7.00,0.00,0.50,0.00,0.00,8.5,1,2013-01-10 11:51:28,2013-01-10 11:58:53,1,445,1.30,-73.977386,40.746655,-73.964119,40.758274,
E3E4AA22FF0F3AFF58067D89F08633B4,F1910E11B69B246C9C9052A414C81786,CMT,CSH,3.00,0.00,0.50,0.00,0.00,3.50,1,2013-01-10 09:10:37,2013-01-10 09:11:44,1,66,0.30,-73.973282,40.755562,-73.966469,40.753822,
1CEBCC473119F63009AC8DEA612F52E3,BF364243AF56C21553B6252633951DD4,CMT,CSH,13.50,0.00,0.50,0.00,0.00,14.00,1,2013-01-10 10:19:27,2013-01-10 10:37:35,1,1087,2.70,-73.994202,40.751186,-74.006775,40.719940,
9FA27533A3E87CC4280247ACCBB5B61D,FCBD6CD43079F1314600ED68F2AD8733,CMT,CSH,13.50,0.00,0.50,0.00,0.00,14.00,1,2013-01-10 15:12:14,2013-01-10 15:30:54,4,1119,2.50,-73.995232,40.736603,-73.968216,40.758324,
1CEBCC473119F63009AC8DEA612F52E3,BF364243AF56C21553B6252633951DD4,CMT,CSH,5.50,0.00,0.50,0.00,0.00,6.00,1,2013-01-10 06:49:22,2013-01-10 06:53:31,2,249,1.10,-73.985756,40.752716,-73.978996,40.755814,
802C09EFBC24455904BB1E6244415908,73404A9901EF7F201FE14A9779A3513C,CMT,CSH,19.00,0.50,0.50,0.00,0.00,20.00,1,2013-01-10 00:43:54,2013-01-10 01:01:07,1,1033,5.90,-74.006493,40.740582,-73.947792,40.795776,
A895384C359AABDA144AF574989DA1C3,CEEB6BCC5E4705A32043BCA2DBA78E3E,CMT,CSH,14.00,0.00,0.50,0.00,0.00,14.50,1,2013-01-10 06:53:23,2013-01-10 07:02:56,1,572,4.10,-73.975052,40.744431,-74.007538,40.706284,
1FC922EB39A7D72DFF42F42EE7320C6E,7B4259D082C3FC9DEA504DAF7C47EC7D,CMT,CSH,10.50,0.00,0.50,0.00,0.00,11.00,1,2013-01-14 09:34:41,2013-01-14 09:48:00,3,798,1.90,-73.994270,40.751091,-73.996346,40.768116,
663B7A92F7677B4807449344FDD373ED,F432026C7EDFE2B31245E415B6E84C0F,CMT,CSH,6.50,0.00,0.50,0.00,0.00,7.00,1,2013-01-14 08:07:36,2013-01-14 08:15:01,1,444,1.20,-73.996307,40.727211,-73.988876,40.716606,
35C25E22F6ABB6966B7416421F777A0F,F57FF0DC16E4F1387827ACD26EBDA82C,CMT,CSH,7.00,0.50,0.50,0.00,0.00,8.00,1,2013-01-14 05:44:31,2013-01-14 05:49:43,1,312,1.50,-73.992149,40.749378,-73.988495,40.734089,
B5871D0837BD95C235878A8006636456,755D754298406CA6F6FEAB630F66039C,CMT,CSH,7.00,0.00,0.50,0.00,0.00,7.50,1,2013-01-14 10:12:01,2013-01-14 10:17:47,1,345,1.40,-73.978462,40.786484,-73.981636,40.767525,
0D0D2A78F5C539728E2DCAD4FD6B8AD8,BC32F386512F93038914D47CE999D2C3,CMT,CSH,9.00,0.00,0.50,0.00,0.00,9.50,1,2013-01-14 07:27:54,2013-01-14 07:36:43,1,528,2.00,-73.977264,40.789532,-73.973854,40.765095,
56D722B77D7EF45080B91D6D4E7450DD,2862C98C95C0299785E7BD22264CF96F,CMT,CSH,8.00,0.00,0.50,0.00,0.00,8.50,1,2013-01-14 07:42:37,2013-01-14 07:52:07,1,569,1.40,-73.952919,40.768105,-73.969177,40.762684,
B7D6B0EFACD1B8860AA51BD9C1B68329,0A79B8C226D15550087A10D1BF77CBB9,CMT,CSH,28.00,0.50,0.50,0.00,4.80,33.80,1,2013-01-14 05:21:15,2013-01-14 05:40:35,1,1159,9.50,0.000000,0.000000,0.000000,0.000000,
1EB647AF151777C472FF673CA2A7ECF7,139B1D8AC65D0C9C6DF3A562D2A82B97,CMT,CSH,18.50,0.50,0.50,0.00,0.00,19.50,1,2013-01-14 03:02:28,2013-01-14 03:15:54,1,806,6.10,-74.002731,40.733490,-73.932198,40.764664,
1EB647AF151777C472FF673CA2A7ECF7,139B1D8AC65D0C9C6DF3A562D2A82B97,CMT,CSH,18.50,0.50,0.50,0.00,0.00,20.5,1,2013-01-14 03:02:28,2013-01-14 03:15:54,1,806,6.10,-74.002731,40.733490,-73.932198,40.764664,
6D5330EB76302FC7103F9D26B21CD5FD,83E6BFC56001DBF6F167D53C82981C3D,CMT,CSH,5.00,0.00,0.50,0.00,0.00,5.50,1,2013-01-14 13:48:45,2013-01-14 13:52:37,1,231,0.70,-73.989052,40.757980,-74.000092,40.758518,
E2D3AAB9B9D5C866BD24D932463D8FC5,AD5043CDB3ABC767A0ED49DEA88E2932,CMT,CSH,4.50,0.00,0.50,0.00,0.00,5.00,1,2013-01-14 09:16:00,2013-01-14 09:19:28,1,207,0.50,-73.982597,40.756973,-73.977921,40.763538,
EE5A9D77A3A50F1102FFBD93A2FB21C3,C8DB1B2F43751D5DC63A6A9EA1AA04AF,CMT,CSH,22.00,0.50,0.50,0.00,0.00,23.00,1,2013-01-13 21:15:35,2013-01-13 21:36:12,1,1236,6.50,-73.959908,40.766708,-73.855446,40.757999,
B7D6B0EFACD1B8860AA51BD9C1B68329,0A79B8C226D15550087A10D1BF77CBB9,CMT,CSH,6.00,0.00,0.50,0.00,0.00,6.50,1,2013-01-14 11:04:20,2013-01-14 11:10:58,1,397,0.90,0.000000,0.000000,0.000000,0.000000,
0D0D2A78F5C539728E2DCAD4FD6B8AD8,BC32F386512F93038914D47CE999D2C3,CMT,CSH,6.00,0.00,0.50,0.00,0.00,6.50,1,2013-01-14 12:58:57,2013-01-14 13:05:02,1,364,0.80,-73.931679,40.858673,-73.937996,40.847847,
511B6B723C79271F051DAD41A5B34454,EF57693ACB6975A024AA52402F163951,CMT,CSH,8.00,0.50,0.50,0.00,0.00,9.00,1,2013-01-13 21:52:57,2013-01-13 21:59:56,1,419,1.90,-73.970741,40.759907,-73.989975,40.739056,
2C82939B4483008CD3B81B14262F0DDB,9D8B1F3FE968F1E1F27CA88EAEA1A4E5,CMT,CSH,7.00,0.00,0.50,0.00,0.00,7.50,1,2013-01-14 07:37:36,2013-01-14 07:44:43,1,427,1.10,-73.994095,40.751259,-73.977463,40.752941,
6D5330EB76302FC7103F9D26B21CD5FD,83E6BFC56001DBF6F167D53C82981C3D,CMT,CSH,10.00,0.00,0.50,0.00,0.00,10.50,1,2013-01-14 11:34:16,2013-01-14 11:46:03,1,707,2.00,-74.005463,40.745960,-73.978058,40.752274,
C612423A09BF7298B817EBB674E7DC11,42DF04160A5453F241D3C6510DBF479B,CMT,CSH,8.50,0.00,0.50,0.00,0.00,9.00,1,2013-01-14 06:09:46,2013-01-14 06:16:40,1,413,2.00,-73.954475,40.778004,-73.974724,40.762444,
D2BD7B2311CAF9D670C8A9A4C18A9C71,A48ABB4E6B9432CA4AC6765C4517916D,CMT,CSH,15.00,0.00,0.50,0.00,0.00,15.50,1,2013-01-14 08:07:35,2013-01-14 08:25:10,1,1054,3.30,-73.966141,40.804615,-73.973473,40.764282,
A3B17384165197E18CA0A1BB61277EE9,B8396B62883EA332EFD2771A6B031D05,CMT,CSH,3.00,0.50,0.50,0.00,0.00,4.00,1,2013-01-10 05:03:36,2013-01-10 05:04:42,1,65,0.20,-73.985741,40.746403,-73.988831,40.747875,
A3B17384165197E18CA0A1BB61277EE9,B8396B62883EA332EFD2771A6B031D05,CMT,CSH,4.00,0.00,0.50,0.00,0.00,4.50,1,2013-01-10 07:38:15,2013-01-10 07:40:31,1,136,0.50,-73.988426,40.749252,-73.985176,40.755375,
A8B82B793AEAA586905D1E3194CE1CA7,278224DBF61F501CAB5CC2935D0F2E12,CMT,CSH,9.50,0.50,0.50,0.00,0.00,10.50,1,2013-01-10 00:22:15,2013-01-10 00:29:27,1,432,2.50,-73.982674,40.745193,-73.958557,40.772675,
6F9EC82D4E5C8B03A93FC1C5DAB16465,46B752454F81297378A9039B135AF919,CMT,CSH,6.00,0.50,0.50,0.00,0.00,7.00,1,2013-01-09 23:07:49,2013-01-09 23:12:45,2,296,1.20,-73.991943,40.756435,-73.987328,40.768627,
237F49C3ECC11F5024B254268F054384,5B5142B619975D1F971DA6187F4EBD31,CMT,CSH,5.00,0.50,0.50,0.00,0.00,6.00,1,2013-01-10 00:03:03,2013-01-10 00:05:47,1,164,1.00,-73.980148,40.764847,-73.978333,40.772949,
8D304A01B4C7ECC0787C3BB3F81E08AF,DD2E5D210BEC86BE7FBD125C4E0B6D86,CMT,CSH,9.00,0.00,0.50,0.00,0.00,9.50,1,2013-01-10 13:45:59,2013-01-10 13:55:51,1,592,1.70,-73.979362,40.776665,-73.998337,40.760971,
8D304A01B4C7ECC0787C3BB3F81E08AF,DD2E5D210BEC86BE7FBD125C4E0B6D86,CMT,CSH,9.00,0.00,0.50,0.00,0.00,10.5,1,2013-01-10 13:45:59,2013-01-10 13:55:51,1,592,1.70,-73.979362,40.776665,-73.998337,40.760971,
4F4341D4F322CD40F4AABD3882AD510E,44ECB723FF09D59FF22C4CFEB3F6252B,CMT,CSH,9.00,0.00,0.50,0.00,0.00,9.50,1,2013-01-10 07:09:40,2013-01-10 07:19:24,1,584,1.60,-73.990906,40.757877,-73.973267,40.763592,
1F03ADDC384F4C5FB5E760528D4E0BA5,B6E4F2DB4FF1022581A8EB9359FD2F3C,CMT,CSH,7.00,0.50,0.50,0.00,0.00,8.00,1,2013-01-10 02:32:29,2013-01-10 02:36:25,1,235,1.80,-73.983780,40.729328,-73.975525,40.751305,
5142072568D80D822BA3E6224E38EC80,9104D4003263A4C6C9DF7EE959BA0B2A,CMT,CSH,5.50,0.00,0.50,0.00,0.00,6.00,1,2013-01-10 15:33:03,2013-01-10 15:38:26,1,322,0.90,-73.982246,40.731960,-73.996803,40.737240,
5142072568D80D822BA3E6224E38EC80,9104D4003263A4C6C9DF7EE959BA0B2A,CMT,CSH,5.00,0.00,0.50,0.00,0.00,5.50,1,2013-01-10 15:40:39,2013-01-10 15:45:06,1,267,0.70,-74.000191,40.738052,-73.990005,40.733040,
FF2F8AB4ECBC4859813819E5A42BD3A9,EEC1DE13AFB0F1CC815002BE8CBAF2DE,CMT,CSH,5.00,0.50,0.50,0.00,0.00,6.00,1,2013-01-10 05:07:47,2013-01-10 05:11:02,1,195,0.70,-73.956635,40.767323,-73.966393,40.764462,
62E92D0DF42AEECF22822F5F6E200B8C,FD09F32B4B1D88055E5355B49EFBC1E5,CMT,CSH,5.00,0.00,0.50,0.00,0.00,5.50,1,2013-01-10 06:06:32,2013-01-10 06:09:40,2,188,0.80,-73.990891,40.756149,-73.982635,40.766991,
4A7ECBD27554D95982D5A56D060D992E,91947AABC5295AB92706023FD45D91E0,CMT,CSH,9.50,0.00,0.50,0.00,0.00,10.00,1,2013-01-10 10:37:49,2013-01-10 10:48:57,1,668,1.90,-73.969559,40.754364,-73.994858,40.752869,
4A7ECBD27554D95982D5A56D060D992E,91947AABC5295AB92706023FD45D91E0,CMT,CSH,6.00,0.00,0.50,0.00,0.00,6.50,1,2013-01-10 12:48:24,2013-01-10 12:53:32,1,307,1.40,-73.989128,40.721535,-73.983772,40.737492,
CBC643578C6C9D9404A93E8C881E6355,C8E6C54325661F3670FF152183D5EC98,CMT,CSH,6.50,0.00,0.50,0.00,0.00,7.00,1,2013-01-10 10:57:14,2013-01-10 11:03:35,1,380,1.00,-73.979614,40.785885,-73.981133,40.776680,
BCC1B5B7D9596FEC872C9DAD725310B3,229A201AC29A31E8864E2C2E468AD88F,CMT,CSH,7.50,0.00,0.50,0.00,0.00,8.00,1,2013-01-10 06:13:06,2013-01-10 06:18:42,1,335,1.60,-73.952927,40.772522,-73.972000,40.762222,
D52D95474826BDD1322897D8A1E69810,5A872DF4670B062E3816049C76DFC977,CMT,CSH,4.00,0.00,0.50,0.00,0.00,4.50,1,2013-01-10 08:00:49,2013-01-10 08:03:25,1,155,0.40,-73.956429,40.781410,-73.960129,40.776054,
F3E2FC48C5A14BACE539216837A8AB86,9449C21AF5441168D285D5567F2FDE61,CMT,CSH,43.50,0.00,0.50,0.00,0.00,44.00,1,2013-01-10 11:19:57,2013-01-10 11:51:21,1,1883,15.80,-73.776733,40.645206,-73.971481,40.581226,
20D0A5B8614AE3B11724142DF3A7009A,2276E51D9B77B8AD32210294EE7F0149,CMT,CSH,8.50,0.00,0.50,0.00,0.00,9.00,1,2013-01-10 09:29:24,2013-01-10 09:38:41,1,557,1.70,-73.980919,40.744953,-73.997574,40.724819,
20D0A5B8614AE3B11724142DF3A7009A,2276E51D9B77B8AD32210294EE7F0149,CMT,CSH,8.50,0.00,0.50,0.00,0.00,10.0,1,2013-01-10 09:29:24,2013-01-10 09:38:41,1,557,1.70,-73.980919,40.744953,-73.997574,40.724819,
CBC643578C6C9D9404A93E8C881E6355,C8E6C54325661F3670FF152183D5EC98,CMT,CSH,9.50,0.00,0.50,0.00,0.00,10.00,1,2013-01-10 06:44:48,2013-01-10 06:51:18,1,390,2.20,-73.953835,40.784946,-73.971992,40.759953,
20D0A5B8614AE3B11724142DF3A7009A,2276E51D9B77B8AD32210294EE7F0149,CMT,CSH,12.50,0.00,0.50,0.00,0.00,13.00,1,2013-01-10 07:57:35,2013-01-10 08:09:56,1,740,3.10,-73.987831,40.724365,-73.964333,40.717308,
20D0A5B8614AE3B11724142DF3A7009A,2276E51D9B77B8AD32210294EE7F0149,CMT,CSH,4.50,0.00,0.50,0.00,0.00,5.00,1,2013-01-10 08:55:45,2013-01-10 08:59:26,1,221,0.60,-73.990280,40.756641,-74.001404,40.761181,
99563C0024F21266280CF9CFDDC83BC2,C4C7E06C39E65B9F97B5418096CD5C6B,CMT,CSH,6.00,0.00,0.50,0.00,0.00,6.50,1,2013-01-10 14:48:02,2013-01-10 14:53:59,1,357,1.00,-73.983513,40.738235,-73.982513,40.748466,
DE0A07A679250CFD62C6336DD782AEE1,A7C5498A4A189FBC170C8D6791163D1C,CMT,CSH,25.50,0.00,0.50,0.00,4.80,30.80,1,2013-01-10 13:43:29,2013-01-10 14:02:12,2,1123,8.50,-73.873001,40.774216,-73.977814,40.754482,
27C2976FDFF668D3E39CB28FEF659F0B,6F1E258CBF582D1B75DE2D82CD11BF00,CMT,CSH,8.00,0.00,0.50,0.00,0.00,8.50,1,2013-01-10 14:54:59,2013-01-10 15:05:12,1,612,0.90,-73.958458,40.764412,-73.968597,40.761871,
27C2976FDFF668D3E39CB28FEF659F0B,6F1E258CBF582D1B75DE2D82CD11BF00,CMT,CSH,10.00,0.00,0.50,0.00,0.00,10.50,1,2013-01-10 11:15:40,2013-01-10 11:26:55,1,674,2.10,-73.976982,40.744396,-73.966362,40.769714,
CA093B2580224C64644C3E85D02E2728,300E866D9464D92893B672425A0CA516,CMT,CSH,9.00,0.00,0.50,0.00,0.00,9.50,1,2013-01-14 14:03:27,2013-01-14 14:12:44,1,557,2.00,-73.987015,40.739601,-73.968216,40.765129,
8AD0B4FDBF2F62F88E735AD08C3D2CD7,9F9EFF511B4DDEEFFC01CB7555B42656,CMT,CSH,8.00,0.00,0.50,0.00,0.00,8.50,1,2013-01-14 10:48:04,2013-01-14 10:57:59,1,594,1.20,-73.985931,40.767986,-73.989136,40.754532,
BF55ABC1C429E66DF915B50CA8F72614,764F772ED9CA6A8A07C625266CAAD5A2,CMT,CSH,4.50,0.00,0.50,0.00,0.00,5.00,1,2013-01-14 07:16:24,2013-01-14 07:28:48,1,744,0.60,0.000000,0.000000,0.000000,0.000000,
763D5EC8621ECBB6FE618CD5E383BE95,AB8178C5BD0803C177F371C062136764,CMT,CSH,24.00,0.50,0.50,0.00,0.00,25.00,1,2013-01-13 20:52:28,2013-01-13 21:12:34,1,1205,7.20,-73.955429,40.719959,-73.880424,40.744083,
FAE1370A694D0621FAE1E62FAFD64080,0F7E68B02972776B659FAEEB8C78B3E4,CMT,CSH,6.00,0.50,0.50,0.00,0.00,7.00,1,2013-01-13 22:25:06,2013-01-13 22:29:18,2,252,1.20,-73.977890,40.758011,-73.992287,40.749203,
9D1CE7E9B4EC44D5D39861C98A8BC799,0ED33949F9FE36532824559A9021B531,CMT,CSH,8.50,0.00,0.50,0.00,0.00,9.00,1,2013-01-14 08:25:19,2013-01-14 08:35:43,4,623,1.40,-73.980774,40.764603,-73.999413,40.758781,
9D1CE7E9B4EC44D5D39861C98A8BC799,0ED33949F9FE36532824559A9021B531,CMT,CSH,5.50,0.00,0.50,0.00,0.00,6.00,1,2013-01-14 15:15:14,2013-01-14 15:18:32,3,197,1.20,-73.999184,40.780231,-73.999184,40.780231,
B7D6B0EFACD1B8860AA51BD9C1B68329,0A79B8C226D15550087A10D1BF77CBB9,CMT,CSH,6.00,0.00,0.50,0.00,0.00,6.50,1,2013-01-14 09:53:29,2013-01-14 09:59:34,1,365,0.80,0.000000,0.000000,0.000000,0.000000,
B7D6B0EFACD1B8860AA51BD9C1B68329,0A79B8C226D15550087A10D1BF77CBB9,CMT,CSH,8.00,1.00,0.50,0.00,0.00,9.50,1,2013-01-14 16:17:15,2013-01-14 16:25:21,2,486,1.40,0.000000,0.000000,0.000000,0.000000,
4CD65097EFB67A8D6B6032C9E44E6ADD,AE27B9688747B750C672856DD6E11E79,CMT,CSH,16.00,0.00,0.50,0.00,0.00,16.50,1,2013-01-13 19:14:48,2013-01-13 19:29:24,1,875,4.50,-73.957024,40.770557,-73.954773,40.727203,
4CD65097EFB67A8D6B6032C9E44E6ADD,AE27B9688747B750C672856DD6E11E79,CMT,CSH,9.50,0.50,0.50,0.00,0.00,10.50,1,2013-01-13 20:03:50,2013-01-13 20:13:15,1,564,2.00,-73.988792,40.736832,-73.984688,40.758923,
66B87B60B19890A4C2E0CB1566256324,F8DABF9035728F406AF5321D8547A438,CMT,CSH,32.50,0.50,0.50,0.00,4.80,38.30,1,2013-01-13 22:29:51.000,2013-01-13 22:56:30.000,1,1599,11.10,-73.874367,40.774010,-74.005516,40.711201,
66B87B60B19890A4C2E0CB1566256324,F8DABF9035728F406AF5321D8547A438,CMT,CSH,11.50,0.50,0.50,0.00,0.00,12.50,1,2013-01-13 22:56:57,2013-01-13 23:12:04,1,906,2.20,-74.005661,40.711460,-74.000427,40.730183,
1FC922EB39A7D72DFF42F42EE7320C6E,7B4259D082C3FC9DEA504DAF7C47EC7D,CMT,CSH,6.00,0.00,0.50,0.00,0.00,6.50,1,2013-01-14 06:14:29,2013-01-14 06:19:42,1,313,0.90,-73.993866,40.756748,-73.987350,40.747757,
930A4A40C9BC9ED01468B55457CE445D,CB45AF1325D68002FA5CA9288E495E21,CMT,CSH,11.50,0.00,0.50,0.00,0.00,12.00,1,2013-01-14 08:35:52,2013-01-14 08:49:39,4,827,2.10,-73.969498,40.800449,-73.979576,40.774429,
C78594C1FDFF1C49290229C309EC6505,7D5F6F6328E6D992E1A42CA161C0F4F0,CMT,CSH,8.50,0.00,0.50,0.00,0.00,9.00,1,2013-01-14 06:31:13,2013-01-14 06:40:02,1,529,1.70,-73.959442,40.766727,-73.981483,40.757095,
511B6B723C79271F051DAD41A5B34454,EF57693ACB6975A024AA52402F163951,CMT,CSH,5.00,0.50,0.50,0.00,0.00,6.00,1,2013-01-13 21:47:30,2013-01-13 21:50:31,1,181,0.90,-73.960648,40.772915,-73.969025,40.761265,
9D1CE7E9B4EC44D5D39861C98A8BC799,0ED33949F9FE36532824559A9021B531,CMT,CSH,8.00,0.00,0.50,0.00,0.00,8.50,1,2013-01-14 11:12:38,2013-01-14 11:23:51,1,673,0.90,-73.993927,40.749424,-73.985970,40.750084,
9D1CE7E9B4EC44D5D39861C98A8BC799,0ED33949F9FE36532824559A9021B531,CMT,CSH,8.00,0.00,0.50,0.00,0.00,8.50,1,2013-01-14 11:26:15,2013-01-14 11:36:50,2,635,1.10,-73.985970,40.750084,-73.984749,40.756802,
C87EB94EBDB4DD54DAAAF08A4597C9D3,5B561CD9EBF4D3EAFC9CB1111EE781B1,CMT,CSH,12.50,0.00,0.50,0.00,0.00,13.00,1,2013-01-14 08:22:37,2013-01-14 08:38:24,1,946,2.30,-73.961472,40.774254,-73.982513,40.745354,
C87EB94EBDB4DD54DAAAF08A4597C9D3,5B561CD9EBF4D3EAFC9CB1111EE781B1,CMT,CSH,16.00,0.00,0.50,0.00,0.00,16.50,1,2013-01-14 07:40:30,2013-01-14 07:58:40,1,1089,4.00,-73.968353,40.765106,-74.007553,40.725746,
733137316F6B78F10930CD3486FBE1C2,9B99803699C9E5EDB7A3EC15FCE05769,CMT,CSH,10.50,0.00,0.50,0.00,0.00,11.00,1,2013-01-14 15:26:25,2013-01-14 15:39:50,1,805,2.00,-73.988297,40.749851,-73.993332,40.762478,
